idx,adaboost:algorithm,adaboost:learning_rate,adaboost:max_depth,adaboost:n_estimators,balancing:strategy,bernoulli_nb:alpha,bernoulli_nb:fit_prior,classifier,decision_tree:criterion,decision_tree:max_depth,decision_tree:max_features,decision_tree:max_leaf_nodes,decision_tree:min_samples_leaf,decision_tree:min_samples_split,extra_trees:bootstrap,extra_trees:criterion,extra_trees:max_depth,extra_trees:max_features,extra_trees:min_samples_leaf,extra_trees:min_samples_split,extra_trees:n_estimators,gradient_boosting:learning_rate,gradient_boosting:max_depth,gradient_boosting:max_features,gradient_boosting:min_samples_leaf,gradient_boosting:min_samples_split,gradient_boosting:n_estimators,gradient_boosting:subsample,imputation:strategy,k_nearest_neighbors:algorithm,k_nearest_neighbors:leaf_size,k_nearest_neighbors:n_neighbors,k_nearest_neighbors:p,k_nearest_neighbors:weights,kitchen_sinks:gamma,kitchen_sinks:n_components,lda:n_components,lda:tol,liblinear_svc:C,liblinear_svc:class_weight,liblinear_svc:dual,liblinear_svc:fit_intercept,liblinear_svc:intercept_scaling,liblinear_svc:loss,liblinear_svc:multi_class,liblinear_svc:penalty,liblinear_svc:tol,liblinear_svc_preprocessor:C,liblinear_svc_preprocessor:class_weight,liblinear_svc_preprocessor:dual,liblinear_svc_preprocessor:fit_intercept,liblinear_svc_preprocessor:intercept_scaling,liblinear_svc_preprocessor:loss,liblinear_svc_preprocessor:multi_class,liblinear_svc_preprocessor:penalty,liblinear_svc_preprocessor:tol,libsvm_svc:C,libsvm_svc:class_weight,libsvm_svc:coef0,libsvm_svc:degree,libsvm_svc:gamma,libsvm_svc:kernel,libsvm_svc:max_iter,libsvm_svc:shrinking,libsvm_svc:tol,multinomial_nb:alpha,multinomial_nb:fit_prior,nystroem_sampler:coef0,nystroem_sampler:degree,nystroem_sampler:gamma,nystroem_sampler:kernel,nystroem_sampler:n_components,passive_aggresive:C,passive_aggresive:fit_intercept,passive_aggresive:loss,passive_aggresive:n_iter,preprocessor,qda:reg_param,qda:tol,random_forest:bootstrap,random_forest:criterion,random_forest:max_depth,random_forest:max_features,random_forest:max_leaf_nodes,random_forest:min_samples_leaf,random_forest:min_samples_split,random_forest:n_estimators,rescaling:strategy,ridge:alpha,ridge:fit_intercept,ridge:tol,select_percentile_classification:percentile,select_percentile_classification:score_func,select_rates:alpha,select_rates:mode,select_rates:score_func,sgd:alpha,sgd:epsilon,sgd:eta0,sgd:fit_intercept,sgd:l1_ratio,sgd:learning_rate,sgd:loss,sgd:n_iter,sgd:penalty,sgd:power_t,truncatedSVD:target_dim
36,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,31.85677011133806,None,False,True,1,l2,ovr,l2,0.014868685044056829,2.8635267316096007,auto,False,True,1,l2,ovr,l2,0.003376722544010921,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
37,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,1.1776001601005561,None,False,True,1,l2,ovr,l2,0.017370502624962942,56.8804975494496,None,False,True,1,l2,ovr,l2,0.003876415699636574,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,,,,,,,,,,,,,,,,,,,
38,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,4.501432836777849,None,3,18,100,min/max,,,,,,,,,,,,,,,,,,,
39,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.6267884804194324,5339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,1.7354697729055102e-05,,0.06823582260704687,True,,optimal,log,748,l2,,
40,,,,,weighting,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04789379035470258,True,hinge,753,select_rates,,,,,,,,,,,min/max,,,,,,0.1675294681360058,fpr,chi2,,,,,,,,,,,
41,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.2433817260885314,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.00434041929704603,True,9.460659754813873e-05,,,,,,,,,,,,,,,,
42,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.3991664515518563,4483,,,1.6961613849240715,auto,False,True,1,l2,ovr,l2,1.2226733781308284e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
43,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,2.94290093954027,1,4,100,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,230
44,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47682959172287465,3,0.0817500204361975,poly,7840,,,,,nystroem_sampler,,,,,,,,,,,min/max,3.5247879633073613e-06,True,2.639257688953377e-05,,,,,,,,,,,,,,,,
45,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,gini,None,1.9308172645873483,None,3,2,100,min/max,,,,,,,,,,,,,,,,,,,
46,,,,,weighting,,,extra_trees,,,,,,,False,gini,None,4.7402401153417255,1,8,100,,,,,,,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
47,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.30960578518462356,1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,6.470984402260665e-05,,0.06964875570470032,True,0.5511949982306176,constant,log,211,elasticnet,,
48,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,median,auto,30,13,2,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_rates,,,,,,,,,,,min/max,,,,,,0.29988931129304747,fpr,chi2,,,,,,,,,,,
49,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,most_frequent,auto,30,71,1,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,94.1552485834088,chi2,,,,,,,,,,,,,,
50,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,3.6453655958844275,auto,False,True,1,l2,ovr,l2,0.001700098721132202,,,,,,,,,,,,,,,,,,,,,-0.9702930141004069,,0.8329338915456194,sigmoid,91,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
51,,,,,weighting,,,random_forest,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,densifier,,,False,entropy,None,0.8631968044910818,None,2,12,100,min/max,,,,,,,,,,,,,,,,,,,
52,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.4535406285729275,9398,,,52.37224007072462,None,False,True,1,l2,ovr,l2,0.05761344561010035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
53,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0788604704526727,771,,,8.638619612438676,None,False,True,1,l2,ovr,l2,3.898062486834489e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,
54,,,,,weighting,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.995881606001457,4,0.4818152275641587,poly,1191,0.033681905827260716,True,squared_hinge,873,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
55,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.6210665065766494,6034,,,780.9762754676038,auto,False,True,1,l2,ovr,l2,2.6086901630174615e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
56,,,,,weighting,,,passive_aggresive,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12026337660330011,3,1.1582575176356833,poly,3849,1.3452022220098043e-05,True,hinge,426,nystroem_sampler,,,,,,,,,,,standard,,,,,,,,,,,,,,,,,,,
57,,,,,none,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,0.5193928872785065,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,normalize,1.5903587572073658e-05,True,9.213150591825412e-05,,,,,,,,,,,,,,,,
58,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.9115270292784456,7952,,,26.460477813476885,auto,False,True,1,l2,ovr,l2,0.044498006537424896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
59,,,,,none,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
60,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,0.05603673201260652,auto,False,True,1,l2,ovr,l2,0.011505152891457357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,105
61,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,0.09234806860588303,None,False,True,1,l2,ovr,l2,0.001534596228902367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
62,,,,,none,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
63,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,1.0643838905189849,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,0.09431757027684076,True,1.3766310291813496e-05,,,,,,,,,,,,,,,,
64,,,,,weighting,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,0.8848273667433273,830,,,33.322968183119954,None,False,True,1,l2,ovr,l2,0.0005867159913893292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
65,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,normalize,2.7470338432883535e-06,True,1.4308577911223189e-05,,,,,,,,,,,,,,,,
66,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.015527825912722,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,9.849072822718798e-05,True,7.709455427519569e-05,,,,,,,,,,,,,,,,
67,,,,,none,,,sgd,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,9.12289388045085,auto,False,True,1,l2,ovr,l2,0.0006941751064354955,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,standard,,,,,,,,,2.3700611207598537e-06,,0.06533728461727917,True,0.4909583799330445,invscaling,log,424,elasticnet,0.1628309471415556,
68,,,,,weighting,,,libsvm_svc,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,18592.554335798097,auto,False,True,1,l2,ovr,l2,0.04023227085496224,6111.712114902783,None,0.844884936772573,5,0.11788296024604372,poly,-1,False,0.0010929809050057324,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
69,,,,,none,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
70,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,min/max,8.610488935854656e-07,True,4.2484270430463825e-05,,,,,,,,,,,,,,,,240
71,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,429.24646709651563,auto,False,True,1,l2,ovr,l2,0.00032999323173377285,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,4.543597878940112e-05,True,0.08372069344063812,,,,,,,,,,,,,,,,
72,,,,,none,,,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,1.4134057954238268,1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,2.352082051096695e-05,,0.07553944620829167,True,,optimal,log,763,l1,,
73,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6087195453774423,,0.035568703294053754,sigmoid,765,,,,,nystroem_sampler,,,,,,,,,,,standard,8.060246515372281e-06,True,0.0015794341913463962,,,,,,,,,,,,,,,,
74,,,,,none,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10215927263651471,True,,,,,,,,,,select_percentile_classification,,,,,,,,,,,min/max,,,,66.1074107906201,chi2,,,,,,,,,,,,,,
75,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truncatedSVD,,,,,,,,,,,min/max,0.020439345369126352,True,1.522072548579835e-05,,,,,,,,,,,,,,,,234
76,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.3991664515518563,4483,,,1.6961613849240715,auto,False,True,1,l2,ovr,l2,1.2226733781308284e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
77,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,1.27016437709543,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kitchen_sinks,,,,,,,,,,,normalize,4.48286067121015e-06,True,0.015435803225497558,,,,,,,,,,,,,,,,
78,,,,,weighting,,,ridge,,,,,,,,,,,,,,,,,,,,,most_frequent,,,,,,,,,,,,,,,,,,,56.8804975494496,None,False,True,1,l2,ovr,l2,0.003876415699636574,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,normalize,8.921629476834993e-05,True,0.01023326081066032,,,,,,,,,,,,,,,,
79,,,,,weighting,,,multinomial_nb,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,0.07688298712455896,None,False,True,1,l2,ovr,l2,2.8156844850257234e-05,,,,,,,,,,0.05845478455863533,True,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
80,,,,,none,,,liblinear_svc,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,4.989990375749823,auto,False,True,1,l2,ovr,l2,0.00010910144747236218,,,,,,,,,,,,,,,,,,,,,,,0.0689144400526944,rbf,804,,,,,nystroem_sampler,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
81,,,,,weighting,,,sgd,,,,,,,,,,,,,,,,,,,,,mean,,,,,,,,,,,,,,,,,,,0.034714746469374815,auto,False,True,1,l2,ovr,l2,0.07880833900933755,,,,,,,,,,,,,,,,,,,,,liblinear_svc_preprocessor,,,,,,,,,,,standard,,,,,,,,,0.0004048102566519911,,0.09847804105625495,True,,invscaling,log,328,l2,0.07277195262244787,
82,,,,,weighting,,,k_nearest_neighbors,,,,,,,,,,,,,,,,,,,,,most_frequent,auto,30,13,1,distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_preprocessing,,,,,,,,,,,min/max,,,,,,,,,,,,,,,,,,,
